words,valence,condition_design
thorough,1,1
moral,1,1
lively,1,1
trustful,1,1
active,1,1
helpful,1,1
realist,1,1
inventive,1,1
outgoing,1,1
popular,1,1
courteous,1,1
punctual,1,1
rational,1,1
responsible,1,1
open-minded,1,1
adventurous,1,1
reasonable,1,1
shy,2,1
proud,2,1
wordy,2,1
clownish,2,1
unskilled,2,1
insecure,2,1
unhappy,2,1
changeable,2,1
outspoken,2,1
comical,2,1
innocent,2,1
theatrical,2,1
ordinary,2,1
moralistic,2,1
fashionable,2,1
opinionated,2,1
mathematical,2,1
crude,3,1
scheming,3,1
wasteful,3,1
hostile,3,1
misfit,3,1
heartless,3,1
moody,3,1
prejudiced,3,1
ungracious,3,1
insulting,3,1
ungrateful,3,1
uncivil,3,1
unsportsmanlike,3,1
irritable,3,1
self-conceited,3,1
oversensitive,3,1
irresponsible,3,1
neat,1,2
polite,1,2
truthful,1,2
wholesome,1,2
cordial,1,2
humble,1,2
strong-minded,1,2
good-tempered,1,2
efficient,1,2
accurate,1,2
spirited,1,2
logical,1,2
observant,1,2
independent,1,2
interesting,1,2
experienced,1,2
educated,1,2
strict,2,2
nervous,2,2
quiet,2,2
withdrawn,2,2
cautious,2,2
dignified,2,2
painstaking,2,2
daredevil,2,2
worrier,2,2
middleclass,2,2
persistent,2,2
emotional,2,2
conventional,2,2
deliberate,2,2
imitative,2,2
discriminating,2,2
perfectionistic,2,2
rash,3,2
disturbed,3,2
nosey,3,2
squeamish,3,2
boring,3,2
selfish,3,2
stingy,3,2
ill-tempered,3,2
ill-mannered,3,2
tiresome,3,2
purposeless,3,2
cowardly,3,2
unforgiving,3,2
unpunctual,3,2
unsociable,3,2
disagreeable,3,2
uninteresting,3,2
discreet,1,3
upright,1,3
grateful,1,3
clever,1,3
composed,1,3
competent,1,3
forgiving,1,3
talented,1,3
proficient,1,3
cool-headed,1,3
positive,1,3
creative,1,3
inquisitive,1,3
original,1,3
intelligent,1,3
self-confident,1,3
companionable,1,3
sad,2,3
solemn,2,3
thrifty,2,3
stubborn,2,3
cunning,2,3
average,2,3
rebellious,2,3
soft-spoken,2,3
immodest,2,3
conforming,2,3
radical,2,3
gullible,2,3
impractical,2,3
undecided,2,3
opportunist,2,3
extravagant,2,3
impressionable,2,3
rude,3,3
sly,3,3
snobbish,3,3
bragging,3,3
profane,3,3
lazy,3,3
helpless,3,3
resentful,3,3
neglectful,3,3
deceptive,3,3
obnoxious,3,3
deceitful,3,3
dislikable,3,3
untrustworthy,3,3
wishy-washy,3,3
unreasonable,3,3
disobedient,3,3